itemId,title,price,shop,link,source
1000005276630,蕉内棉棉515Home男士柔软家居女全棉吸水速干7A抗菌亲肤纯棉毛巾非一次性2025年秋季¥69.00上海包邮14年老店天猫超市,3,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1000005276630,script
1001063469775,蕉内绒绒520Home超级市场毯子午睡办公室盖毯四季空调被披肩毛毯半边绒卡通通用¥544.20安徽淮北包邮tb9685468468163的小店83,501,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1001063469775,script
1001280491505,[王一博同款]蕉内非常服503Relax男女款针织加绒卫衣外套情侣上衣,359.00,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1001280491505,browser
1002224227858,蕉内男士家居女士全棉吸水节日好运亲肤纯棉家用擦脸毛巾抗菌无袖圆领¥69.00浙江杭州退货宝9年老店Bananain蕉内旗舰店,3,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1002224227858,script
1002264444516,【520礼物】蕉内红色计划303A蕾丝睡裙文胸内裤结婚吊带睡衣女无袖四季V领¥299.00浙江杭州退货宝包邮9年老店Bananain蕉内旗舰店,300,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1002264444516,script
1002709225609,【刘浩存同款】蕉内非常服503Relax男女款针织卫衣外套女装上衣,359.00,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1002709225609,browser
1002823792805,【刘浩存同款】蕉内非常服503Relax男女同款针织卫衣外套女装上衣,359.00,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1002823792805,browser
1002859044429,[王一博同款]蕉内热皮502++男女款圆领长袖机能保暖t恤打底衫卫衣,239.00,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1002859044429,browser
1004458923559,蕉内5系男吸水家居女全棉吸水好运送礼伴手礼纯棉99元任选毛巾全棉面巾¥69.00浙江杭州退货宝包邮9年老店Bananain蕉内旗舰店,3,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1004458923559,script
1004647860447,朴西香蕉凉拖鞋女士夏季新款简约家居室内浴室洗澡防滑静音凉拖男居家拖鞋一字拖鞋夏季¥99.80浙江金华极有家包邮回头客6万朴西家居体验店,301,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1004647860447,script
1005009849685,蕉下男士衬衫短袖内搭商务通勤抗皱免烫挺括速干透气立挺防晒衬衣简约风标准中年¥299.00广东广州包邮回头客300万蕉下官方旗舰店,503,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1005009849685,script
1005790020878,蕉下男士衬衫外套速干抗皱免烫商务行政2026新款户外防晒黑白内搭透气长袖青年¥399.00广东广州包邮回头客300万蕉下官方旗舰店,503,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1005790020878,script
1005798128806,蕉内绒绒520Home女款大码家居服带胸垫法兰绒女士冬季可外穿睡衣¥329.00浙江杭州退货宝包邮9年老店Bananain蕉内旗舰店,515,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1005798128806,script
1006289628053,朴西厚底夏季香蕉凉拖鞋女简约家居室内浴室洗澡防滑静音凉拖男居家拖鞋一字拖鞋夏季¥99.80浙江金华极有家包邮回头客6万朴西家居体验店,301,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1006289628053,script
1006718391910,蕉内红色计划5系男女围巾帽子手套本命年情侣新年礼物保暖礼盒冬男女通用围巾/丝巾保暖¥99.00浙江杭州退货宝包邮9年老店Bananain蕉内旗舰店,320,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1006718391910,script
1008923404145,蕉内红色计划5系男女围巾帽子手套本命年情侣新年礼物保暖礼盒冬男女通用婚庆聚酯纤维¥99.00浙江杭州退货宝包邮9年老店Bananain蕉内旗舰店,320,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1008923404145,script
1009463620170,【达人专享】蕉内银皮301S袜子男女士情侣中筒袜短袜春船袜棉袜四季通用抗菌简约¥69.00浙江杭州退货宝包邮9年老店Bananain蕉内旗舰店,10,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1009463620170,script
1010736109561,蕉下男士白衬衫长袖内搭抗皱商务通勤5A速干透气立挺衬衣532标准男童长袖¥499.00江苏南京包邮回头客1000万苏宁易购官方旗舰店,503,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1010736109561,script
1010754829598,蕉内氧气501S文胸美背内衣女小胸聚拢显大收副乳无钢圈无痕胸罩四季通用透气适中¥169.00上海包邮14年老店天猫超市,301,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1010754829598,script
1011536831882,蕉内棉棉509H男士睡衣两件套春春棉感仿牛仔净色长袖长裤家居套装青年圆领长袖¥359.00浙江杭州退货宝包邮回头客6万Bananain蕉内奥莱店,512,回头客6万Bananain蕉内奥莱店,https://item.taobao.com/item.htm?id=1011536831882,script
1012824502559,3件|蕉内银皮511S男士三角内裤纯棉透气裆吸汗四角短裤条纹款男生,139.00,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1012824502559,browser
1013675943600,蕉内氮气301Dry女士速干直筒卫裤运动休闲裤白色裤子夏季新款女裤直筒裤长裤自然腰¥219.00浙江杭州退货宝包邮9年老店Bananain蕉内旗舰店,506,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1013675943600,script
1013677563722,蕉内非常520Color女士防晒超级市场男士鸭舌帽情侣棒球帽新款帽子,119.00,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1013677563722,browser
1013684535032,蕉内氮气302Dry男士速干束脚卫裤休闲运动裤长裤户外2026新款裤子速干运动风通用¥219.00浙江杭州退货宝包邮9年老店Bananain蕉内旗舰店,5,Bananain蕉内旗舰店,https://item.taobao.com/item.htm?id=1013684535032,script
